supertype_color,class_color,class_label,subclass_color,subclass_label,supertype_label,value,class_bigwig,subclass_bigwig,supertype_bigwig
#651F66,#FA0087,IT-ET Glut,#C0FF4D,L6 IT CTX Glut,L6 IT CTX Glut_5,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L6_IT_CTX_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L6_IT_CTX_Glut_5.bw
#8D9917,#FA0087,IT-ET Glut,#660F38,L5 IT CTX Glut,L5 IT CTX Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L5_IT_CTX_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L5_IT_CTX_Glut_1.bw
#456199,#FA0087,IT-ET Glut,#660F38,L5 IT CTX Glut,L5 IT CTX Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L5_IT_CTX_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L5_IT_CTX_Glut_2.bw
#66530F,#FA0087,IT-ET Glut,#660F38,L5 IT CTX Glut,L5 IT CTX Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L5_IT_CTX_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L5_IT_CTX_Glut_3.bw
#FFFE99,#FA0087,IT-ET Glut,#660F38,L5 IT CTX Glut,L5 IT CTX Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L5_IT_CTX_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L5_IT_CTX_Glut_4.bw
#6A992E,#FA0087,IT-ET Glut,#660F38,L5 IT CTX Glut,L5 IT CTX Glut_5,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L5_IT_CTX_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L5_IT_CTX_Glut_5.bw
#8626FF,#FA0087,IT-ET Glut,#FF004B,IT AON-TT-DP Glut,IT AON-TT-DP Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/IT_AON_TT_DP_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/IT_AON_TT_DP_Glut_1.bw
#3D6652,#FA0087,IT-ET Glut,#FF004B,IT AON-TT-DP Glut,IT AON-TT-DP Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/IT_AON_TT_DP_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/IT_AON_TT_DP_Glut_2.bw
#C773FF,#FA0087,IT-ET Glut,#FF004B,IT AON-TT-DP Glut,IT AON-TT-DP Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/IT_AON_TT_DP_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/IT_AON_TT_DP_Glut_3.bw
#666400,#FA0087,IT-ET Glut,#FF004B,IT AON-TT-DP Glut,IT AON-TT-DP Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/IT_AON_TT_DP_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/IT_AON_TT_DP_Glut_4.bw
#1F3E66,#FA0087,IT-ET Glut,#FF004B,IT AON-TT-DP Glut,IT AON-TT-DP Glut_5,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/IT_AON_TT_DP_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/IT_AON_TT_DP_Glut_5.bw
#992E57,#FA0087,IT-ET Glut,#3DCCB7,L2 IT ENT-po Glut,L2 IT ENT-po Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L2_IT_ENT_po_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L2_IT_ENT_po_Glut_2.bw
#5CCCBD,#FA0087,IT-ET Glut,#3DCCB7,L2 IT ENT-po Glut,L2 IT ENT-po Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L2_IT_ENT_po_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L2_IT_ENT_po_Glut_3.bw
#CC5CA0,#FA0087,IT-ET Glut,#3DCCB7,L2 IT ENT-po Glut,L2 IT ENT-po Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L2_IT_ENT_po_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L2_IT_ENT_po_Glut_4.bw
#A099FF,#FA0087,IT-ET Glut,#456C99,MEA Slc17a7 Glut,MEA Slc17a7 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MEA_Slc17a7_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MEA_Slc17a7_Glut_1.bw
#5CCCC9,#FA0087,IT-ET Glut,#456C99,MEA Slc17a7 Glut,MEA Slc17a7 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MEA_Slc17a7_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MEA_Slc17a7_Glut_2.bw
#7E5C99,#FA0087,IT-ET Glut,#456C99,MEA Slc17a7 Glut,MEA Slc17a7 Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/MEA_Slc17a7_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/MEA_Slc17a7_Glut_3.bw
#82995C,#FA0087,IT-ET Glut,#61CC5C,COAp Grxcr2 Glut,COAp Grxcr2 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAp_Grxcr2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAp_Grxcr2_Glut_1.bw
#330F66,#FA0087,IT-ET Glut,#61CC5C,COAp Grxcr2 Glut,COAp Grxcr2 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/COAp_Grxcr2_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/COAp_Grxcr2_Glut_2.bw
#99FFE5,#FA0087,IT-ET Glut,#BBFF73,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LA_BLA_BMA_PA_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LA_BLA_BMA_PA_Glut_1.bw
#99174B,#FA0087,IT-ET Glut,#BBFF73,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LA_BLA_BMA_PA_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LA_BLA_BMA_PA_Glut_2.bw
#992E6E,#FA0087,IT-ET Glut,#BBFF73,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LA_BLA_BMA_PA_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LA_BLA_BMA_PA_Glut_3.bw
#633D66,#FA0087,IT-ET Glut,#BBFF73,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LA_BLA_BMA_PA_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LA_BLA_BMA_PA_Glut_4.bw
#660F43,#FA0087,IT-ET Glut,#BBFF73,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_5,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LA_BLA_BMA_PA_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LA_BLA_BMA_PA_Glut_5.bw
#CC867A,#FA0087,IT-ET Glut,#BBFF73,LA-BLA-BMA-PA Glut,LA-BLA-BMA-PA Glut_6,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/LA_BLA_BMA_PA_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/LA_BLA_BMA_PA_Glut_6.bw
#99735C,#FA0087,IT-ET Glut,#B6CC7A,ENTmv-PA-COAp Glut,ENTmv-PA-COAp Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/ENTmv_PA_COAp_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/ENTmv_PA_COAp_Glut_1.bw
#CC6A3D,#FA0087,IT-ET Glut,#B6CC7A,ENTmv-PA-COAp Glut,ENTmv-PA-COAp Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/ENTmv_PA_COAp_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/ENTmv_PA_COAp_Glut_2.bw
#95CC7A,#FA0087,IT-ET Glut,#B6CC7A,ENTmv-PA-COAp Glut,ENTmv-PA-COAp Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/ENTmv_PA_COAp_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/ENTmv_PA_COAp_Glut_3.bw
#8800CC,#FA0087,IT-ET Glut,#0F3466,CA1-ProS Glut,CA1-ProS Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA1_ProS_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA1_ProS_Glut_1.bw
#4D9945,#FA0087,IT-ET Glut,#0F3466,CA1-ProS Glut,CA1-ProS Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA1_ProS_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA1_ProS_Glut_2.bw
#993E00,#FA0087,IT-ET Glut,#0F3466,CA1-ProS Glut,CA1-ProS Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA1_ProS_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA1_ProS_Glut_3.bw
#2E4999,#FA0087,IT-ET Glut,#0F3466,CA1-ProS Glut,CA1-ProS Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA1_ProS_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA1_ProS_Glut_4.bw
#FF00CE,#FA0087,IT-ET Glut,#0F3466,CA1-ProS Glut,CA1-ProS Glut_5,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA1_ProS_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA1_ProS_Glut_5.bw
#2A0F66,#FA0087,IT-ET Glut,#0F3466,CA1-ProS Glut,CA1-ProS Glut_6,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA1_ProS_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA1_ProS_Glut_6.bw
#997645,#FA0087,IT-ET Glut,#C973FF,CA3 Glut,CA3 Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA3_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA3_Glut_1.bw
#00FFC5,#FA0087,IT-ET Glut,#C973FF,CA3 Glut,CA3 Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA3_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA3_Glut_2.bw
#6ACC00,#FA0087,IT-ET Glut,#C973FF,CA3 Glut,CA3 Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA3_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA3_Glut_3.bw
#991776,#FA0087,IT-ET Glut,#C973FF,CA3 Glut,CA3 Glut_4,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA3_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA3_Glut_4.bw
#712E99,#FA0087,IT-ET Glut,#C973FF,CA3 Glut,CA3 Glut_5,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/CA3_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/CA3_Glut_5.bw
#433D66,#FA0087,IT-ET Glut,#0F6632,L2 IT PPP-APr Glut,L2 IT PPP-APr Glut_1,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L2_IT_PPP_APr_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L2_IT_PPP_APr_Glut_1.bw
#002BCC,#FA0087,IT-ET Glut,#0F6632,L2 IT PPP-APr Glut,L2 IT PPP-APr Glut_2,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L2_IT_PPP_APr_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L2_IT_PPP_APr_Glut_2.bw
#266DFF,#FA0087,IT-ET Glut,#0F6632,L2 IT PPP-APr Glut,L2 IT PPP-APr Glut_3,1,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/class_label_conservative/IT_ET_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/subclass_label_conservative/L2_IT_PPP_APr_Glut.bw,/allen/programs/celltypes/workgroups/rnaseqanalysis/mouse_multiome/results/bigwigs/supertype_label_conservative/L2_IT_PPP_APr_Glut_3.bw
